CSV Field Name,Contract Entity Fields,Required,Comments,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract
Estimated Hours,EstimatedHours,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Revenue,EstimatedRevenue,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Period Type,ContractPeriodType,Y*,Required for 'Recurring' contract type; Allowed values: 'Monthly' 'Quarterly' 'Semi-Annual' or 'Yearly',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setup Fee,SetupFee,N,Can only be used for 'Recurring' contract type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Reporting Requires S/T Times,TimeReportingRequiresStartAndStopTimes,N,Yes' or 'No' (defaults to 'No'),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Servicedesk Contract,IsDefaultContract,N,Yes' or 'No' ,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role Rates ,,N,Can only be used for 'Time and material' 'Retainer' or 'Fixed Price' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Role Name | Contract Hourly Billing Rate The Role Name must match an existing role name. ,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|200.00;Engineer 2|200.00;Engineer 1|200.00;Sub-Contractor|200.00;Senior Consultant/Manager|200.00;Senior Manager|200.00;Trainer|200.00,,,,,,,Director|160.00;Engineer 2|160.00;Engineer 1|160.00;HD Technician|160.00;Senior Consultant/Manager|160.00;Senior Manager|160.00,Director|160.00;Engineer 2|160.00;Engineer 1|160.00;HD Technician|160.00;Senior Consultant/Manager|160.00;Senior Manager|160.00,Director|165.00;Engineer 2|165.00;Engineer 1|165.00;HD Technician|165.00;Sub-Contractor|165.00;Senior Consultant/Manager|165.00;Senior Manager|165.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.50;Engineer 2|144.00;Engineer 1|126.00;HD Technician|108.00;Senior Consultant/Manager|153.00;Senior Manager|157.50,,Director|175.50;Engineer 2|144.00;Engineer 1|126.00;HD Technician|108.00;Senior Consultant/Manager|153.00;Senior Manager|157.50,,,,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,,,,,,,,,,,,,,,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,,,,,,,,,,,,,,,Director|160.00;Engineer 2|160.00;Engineer 1|160.00;HD Technician|160.00;Senior Consultant/Manager|160.00;Senior Manager|160.00,,,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|135.00;Engineer 2|135.00;Engineer 1|135.00;HD Technician|135.00;Senior Consultant/Manager|135.00;Senior Manager|135.00,,,Sub-Contractor|48.00;Trainer|48.00,,,,,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|180.00;Engineer 2|180.00;Engineer 1|180.00;HD Technician|180.00;Senior Consultant/Manager|180.00;Senior Manager|180.00,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,,,,,,,,,,,,,,Director|110.00;Engineer 2|110.00;Engineer 1|110.00;HD Technician|110.00;Senior Consultant/Manager|110.00;Senior Manager|110.00,Director|135.00;Engineer 2|135.00;Engineer 1|135.00;HD Technician|135.00;Senior Consultant/Manager|135.00;Senior Manager|135.00,,,,,,,,,,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|135.00;Engineer 2|135.00;Engineer 1|135.00;HD Technician|135.00;Senior Consultant/Manager|135.00;Senior Manager|135.00,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,,,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,Director|150.00;Engineer 2|150.00;Engineer 1|150.00;HD Technician|150.00;Senior Consultant/Manager|150.00;Senior Manager|150.00,,,Director|165.00;Engineer 2|165.00;Engineer 1|165.00;HD Technician|165.00;Sub-Contractor|165.00;Senior Consultant/Manager|165.00;Senior Manager|165.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Services ,,N,Can only be used for 'Recurring' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Service Name | Unit Cost | Unit Price | Units The Service Name must match an existing service name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Hour Rates,,N,Can only be used for 'Block Hour' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Role Name | Contract Block Hour Multiplier The Role Name must match an existing role name. A contract can only have ONE rate per role name.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Hour Purchases,,N,Can only be used for 'Block Hour' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Start Date | End Date | Hours Purchased | Hourly Rate | Active The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Active and Billed can be 'True' or 'False'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retainer Purchases,,N,Can only be used for 'Retainer' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Start Date | End Date | Amount Purchased | Active The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Active and Billed can be 'True' or 'False'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticket Purchases,,N,Can only be used for 'Incident' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Start Date | End Date | Tickets Purchased | Per ticket Rate | Active The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Active and Billed can be 'True' or 'False'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milestones,,N,"Can only be used for 'Fixed Price' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Milestone Name | Amount | Due Date | Billing Code Name |Status The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Status allowed values: ""In Progress"" ""Ready to Bill"" ""Billed""  Billing Code Name must match an existing billing code name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 1,,N,First name last name format.,Barry R. Keno,Barry R. Keno,Keno Kozie Associates,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Keno Kozie Associates,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Barry R. Keno,Susan L. Keno,Jay J. Kozie,Keno Kozie Associates,Jay J. Kozie,Keno Kozie Associates,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Susan L. Keno,Jay J. Kozie,Susan L. Keno,Jay J. Kozie,Jay J. Kozie,Nancy Kruzel,Keno Kozie Associates,Jay J. Kozie,Jay J. Kozie,Keno Kozie Associates,Keno Kozie Associates,Eli Nussbaum,Keno Kozie Associates,Eli Nussbaum,Keno Kozie Associates,Jay J. Kozie,Susan L. Keno,Keno Kozie Associates,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Susan L. Keno,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Jay J. Kozie,Barry R. Keno,Stanleigh Rabin,Barry R. Keno,Susan L. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Keno Kozie Associates,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Keno Kozie Associates,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Susan L. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 1 %,,N,,20,20,100,100,100,100,20,100,20,20,20,20,100,100,10,20,100,100,20,100,100,100,100,100,100,20,100,20,100,100,100,100,100,20,100,100,100,50,10,100,100,55,55,100,100,40,100,80,100,10,100,100,10,100,20,10,10,10,20,95,100,100,100,20,100,100,100,100,20,100,20,20,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,20,10,20,20,20,55,55,100,20,100,10,20,10,20,10,100,20,20,20,20,20,20,20,100,20,20,20,20,5,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 2,,N,First name last name format.,Jay J. Kozie,Mark Y Brophy,,,,,Joseph D. Schneiders,,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Susan L. Keno,,,Susan L. Keno,Matt D. Schill,,,Susan L. Keno,,,,,,,Nancy Kruzel,,Susan L. Keno,,,,,,Susan L. Keno,,,,Susan L. Keno,Susan L. Keno,,,Susan L. Keno,Susan L. Keno,,,Jay J. Kozie,,Jay J. Kozie,,Nancy Kruzel,,,Susan L. Keno,,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Jay J. Kozie,Imraan A Bhatti,,,,Susan L. Keno,,,,,Jesus Salgado,,Stanleigh Rabin,Stanleigh Rabin,Susan L. Keno,,,,,,,,,,,,,,,Jay J. Kozie,Jay J. Kozie,Susan L. Keno,Jay J. Kozie,Jay J. Kozie,Susan L. Keno,Susan L. Keno,Susan L. Keno,,Susan L. Keno,,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,,Stanleigh Rabin,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,,Susan L. Keno,Susan L. Keno,Susan L. Keno,Jay J. Kozie,Eli Nussbaum,Susan L. Keno,Susan L. Keno,Susan L. Keno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 2 %,,N,,40,80,,,,,80,,80,80,80,40,,,90,80,,,40,,,,,,,80,,80,,,,,,40,,,,50,90,,,45,45,,,20,,20,,70,,,90,,80,90,90,90,80,5,,,,80,,,,,80,,80,80,80,,,,,,,,,,,,,,,80,80,90,80,80,40,45,45,,80,,90,80,90,75,90,,80,80,80,80,80,80,80,,80,80,80,25,80,80,80,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 3,,N,First name last name format.,Susan L. Keno,,,,,,,,,,,Stanleigh Rabin,,,,,,,Stanleigh Rabin,,,,,,,,,,,,,,,Stanleigh Rabin,,,,,,,,,,,,Susan L. Keno,,,,Susan L. Keno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanleigh Rabin,,,,,,,,,Imraan A Bhatti,,,,,,,,,,,,,,Susan L. Keno,Susan L. Keno,,,Imraan A Bhatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 3 %,,N,,40,,,,,,,,,,,40,,,,,,,40,,,,,,,,,,,,,,,40,,,,,,,,,,,,40,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,5,,,,,,,,,,,,,,30,15,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 4,,N,First name last name format.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanleigh Rabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 4 %,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opportunity Owner,,N,First name last name format.,Jay J. Kozie,Jay J. Kozie,Stanleigh Rabin,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Joseph D. Schneiders,Keith A. Klearman,Keith A. Klearman,Keith A. Klearman,Keith A. Klearman,Keith A. Klearman,Keith A. Klearman,Keith A. Klearman,Eli Nussbaum,Susan L. Keno,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Susan L. Keno,Susan L. Keno,Susan L. Keno,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Eli Nussbaum,Susan L. Keno,Susan L. Keno,Susan L. Keno,"Klearman, Keith A.",Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Stanleigh Rabin,Stanleigh Rabin,Stanleigh Rabin,Stanleigh Rabin,Stanleigh Rabin,Stanleigh Rabin,Stanleigh Rabin,Stanleigh Rabin,Susan L. Keno,Barry R. Keno,Stanleigh Rabin,Stanleigh Rabin,Susan L. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Matt D. Schill,Matt D. Schill,Matt D. Schill,Matt D. Schill,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,Susan L. Keno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
