CSV Field Name,Contract Entity Fields,Required,Comments,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract
Estimated Hours,EstimatedHours,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Revenue,EstimatedRevenue,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Period Type,ContractPeriodType,Y*,Required for 'Recurring' contract type; Allowed values: 'Monthly' 'Quarterly' 'Semi-Annual' or 'Yearly',,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setup Fee,SetupFee,N,Can only be used for 'Recurring' contract type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Reporting Requires S/T Times,TimeReportingRequiresStartAndStopTimes,N,Yes' or 'No' (defaults to 'No'),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Servicedesk Contract,IsDefaultContract,N,Yes' or 'No' ,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role Rates ,,N,Can only be used for 'Time and material' 'Retainer' or 'Fixed Price' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Role Name | Contract Hourly Billing Rate The Role Name must match an existing role name. ,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,Director|175.00;Engineer 2|175.00;Engineer 1|175.00;HD Technician|175.00;Senior Consultant/Manager|175.00;Senior Manager|175.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recurring Services ,,N,Can only be used for 'Recurring' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Service Name | Unit Cost | Unit Price | Units The Service Name must match an existing service name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Managed Services|0.00|2187.50|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Hour Rates,,N,Can only be used for 'Block Hour' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Role Name | Contract Block Hour Multiplier The Role Name must match an existing role name. A contract can only have ONE rate per role name.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Hour Purchases,,N,Can only be used for 'Block Hour' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Start Date | End Date | Hours Purchased | Hourly Rate | Active The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Active and Billed can be 'True' or 'False'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retainer Purchases,,N,Can only be used for 'Retainer' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Start Date | End Date | Amount Purchased | Active The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Active and Billed can be 'True' or 'False'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticket Purchases,,N,Can only be used for 'Incident' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Start Date | End Date | Tickets Purchased | Per ticket Rate | Active The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Active and Billed can be 'True' or 'False'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milestones,,N,"Can only be used for 'Fixed Price' contracts. A list of pipe-delimited values separated by a semicolon. Each entry in the list consists of the follwoing values: Milestone Name | Amount | Due Date | Billing Code Name |Status The dates have to be within the contract start/end dates. The date format is MM/DD/YYYY. Status allowed values: ""In Progress"" ""Ready to Bill"" ""Billed""  Billing Code Name must match an existing billing code name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 1,,N,First name last name format.,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,Barry R. Keno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 1 %,,N,,100,10,20,10,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,95,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 2,,N,First name last name format.,,Stanleigh Rabin ,Jay J. Kozie,Stanleigh Rabin ,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Stanleigh Rabin ,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Jay J. Kozie,Imraan A Bhatti,Andrew S. Lunn,Jay J. Kozie,Jay J. Kozie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 2 %,,N,,,90,80,90,80,80,80,80,80,90,80,80,80,80,80,80,80,80,80,80,80,80,80,75,5,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 3,,N,First name last name format.,,,,,,,,,,,,,,,,,,,,,,,,Imraan A Bhatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 3 %,,N,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 4,,N,First name last name format.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Originator 4 %,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
